Symbol,Date,Open,High,Low,Close
KSE-100,30-Jan-18,44492.11,44615.1,44081.23,44233.11
KSE-100,31-Jan-18,44252.94,44533.76,43993.17,44049.05
KSE-100,01-Feb-18,44083.88,44436.39,44083.88,44255.48
KSE-100,02-Feb-18,44341.88,44638.44,44250.6,44301.2
KSE-100,06-Feb-18,43965.88,43965.88,43494.68,43885.51
KSE-100,07-Feb-18,44039.51,44299.87,44029.48,44096.49
KSE-100,08-Feb-18,44079.12,44151.58,43625.13,43679.87
KSE-100,09-Feb-18,43533.11,43826.6,43286.06,43808.8
KSE-100,12-Feb-18,43795.2,43901.41,43461.25,43515.08
KSE-100,13-Feb-18,43582.09,43878.43,43549.4,43690.36
KSE-100,14-Feb-18,43675.68,43781.88,43215.14,43353.04
KSE-100,15-Feb-18,43377.08,43451.31,42858.91,42942.35
KSE-100,16-Feb-18,42916.87,43691.28,42916.87,43627.1
KSE-100,19-Feb-18,43703.89,43950.2,43512.09,43572.67
KSE-100,20-Feb-18,43587.98,43590.41,42864.82,43294.95
KSE-100,21-Feb-18,43509.98,43624.07,42834.21,42919.78
KSE-100,22-Feb-18,42701.29,43627.86,42366.93,43528.51
KSE-100,23-Feb-18,43746.75,43797.11,43014.03,43267.2
KSE-100,26-Feb-18,43328.21,43490.69,42803.12,42911.02
KSE-100,27-Feb-18,42900.85,43116.82,42606.88,42994.96
KSE-100,28-Feb-18,43022,43323.18,43016.54,43239.44
KSE-100,01-Mar-18,43259.45,43634.1,43176.04,43510.39
KSE-100,02-Mar-18,43577.02,43759.13,43412.47,43740.49
KSE-100,05-Mar-18,43797.53,43875,43654.69,43829.07
KSE-100,06-Mar-18,43852.32,44044.14,43660.46,43705.1
KSE-100,07-Mar-18,43712.63,43724.56,43415.1,43441.18
KSE-100,08-Mar-18,43416.46,43476.65,42939.03,43072.74
KSE-100,09-Mar-18,43089.18,43189.6,42860.98,43011.26
KSE-100,12-Mar-18,43020.08,43479.5,43011.86,43410.93
KSE-100,13-Mar-18,43431.31,43707.13,43354.13,43618.07
KSE-100,14-Mar-18,43601.78,43612.69,43346.39,43407.72
KSE-100,15-Mar-18,43409.07,43509.56,43366.67,43495.07
KSE-100,16-Mar-18,43513.82,43525.59,43311.44,43363.21
KSE-100,19-Mar-18,43362.88,43620.81,43311.85,43539.6
KSE-100,20-Mar-18,43554.92,44404.86,43554.92,44309.74
KSE-100,21-Mar-18,44450.27,44840.69,44445.54,44645.95
KSE-100,22-Mar-18,44705.94,45032.41,44659.33,45030.22
KSE-100,26-Mar-18,45019.02,45118.16,44784.81,45083.57
KSE-100,27-Mar-18,45100.61,45307.51,44936.12,45004.19
KSE-100,28-Mar-18,45032.93,45234.78,44899.51,45172.99
KSE-100,29-Mar-18,45157.83,45506.51,45155.51,45489.62
KSE-100,30-Mar-18,45483.29,45604.59,45391.71,45560.3
